51,2,4,1,10,2,2,2,2,1
52,2,5,1,6,2,1,1,2,1
53,2,5,1,1,1,2,2,2,1
54,1,5,1,1,3,1,1,1,1
55,2,4,1,6,2,2,2,2,1
56,1,7,2,1,1,2,2,2,1
57,2,5,1,1,2,1,1,2,1
58,1,5,2,1,3,1,1,2,1
59,1,5,1,1,3,1,1,2,1
60,2,3,1,1,1,1,1,3,1
61,1,2,1,9,2,2,2,2,1
62,1,4,1,6,2,2,2,1,1
63,2,4,1,6,2,2,2,2,1
64,1,4,1,6,2,1,1,1,1
65,1,3,2,1,1,2,2,2,1
66,1,3,1,1,1,2,2,1,1
67,1,7,1,1,1,1,2,1,1
68,1,2,2,2,2,2,2,2,1
69,1,2,1,2,2,2,2,1,1
70,2,2,1,2,2,1,2,1,1
71,2,2,2,2,2,2,2,2,1
72,2,2,1,2,2,2,2,1,1
73,2,2,2,7,2,1,1,1,1
74,2,2,1,7,2,1,1,1,1
75,2,2,1,1,1,2,2,2,1
76,2,9,2,1,1,2,2,2,1
77,2,9,2,1,1,2,2,2,1
78,2,9,1,1,1,2,2,1,1
79,2,7,2,1,1,2,2,2,1
80,2,7,1,1,1,2,2,1,1
81,1,1,2,1,1,2,2,2,1
82,1,7,1,1,1,2,2,1,1
83,2,2,1,2,2,1,1,1,1
84,2,9,2,1,1,2,2,2,1
85,2,9,2,1,1,2,2,2,1
86,2,9,1,1,1,1,2,1,1
87,2,7,2,1,1,2,2,2,1
88,2,7,1,1,1,2,2,1,1
89,2,3,2,1,1,2,2,2,1
90,2,3,1,1,1,2,2,1,1
91,2,2,1,2,2,2,2,1,1
92,2,9,2,1,1,2,2,2,1
93,2,7,1,6,2,2,2,1,1
94,2,7,2,1,1,2,2,2,1
95,2,2,2,7,2,2,2,2,1
96,2,3,2,1,1,2,2,2,1
97,2,3,1,1,1,2,2,1,1
98,2,2,2,2,2,2,2,2,1
99,2,2,1,2,2,1,2,1,1
100,1,2,1,2,2,2,2,3,1
101,1,2,2,7,2,2,2,2,1
102,1,2,1,7,2,1,2,1,1
103,2,9,2,1,1,2,2,2,1
104,2,9,1,1,1,1,2,1,1
105,2,4,1,6,2,1,2,1,1
106,2,7,2,1,1,2,2,2,1
107,2,7,1,1,1,2,2,1,1
108,2,2,1,2,2,1,1,1,1
109,2,2,1,2,2,2,2,1,1
110,2,7,2,1,1,2,2,2,1
111,2,2,1,2,2,2,2,1,1
112,2,9,2,1,1,2,2,2,1
113,2,2,1,2,2,2,2,1,1
114,2,9,2,1,1,2,2,2,1
115,2,9,1,1,1,2,2,1,1
116,1,1,2,1,1,2,2,2,1
117,1,7,1,1,1,2,2,1,1
118,2,2,1,2,2,1,1,1,1
119,2,2,1,2,2,2,2,1,1
120,2,7,2,1,1,2,2,2,1
121,2,7,1,1,1,2,2,1,1
122,2,5,1,6,2,2,2,1,1
123,2,4,1,6,2,2,2,1,1
124,2,2,2,2,2,2,2,2,1
125,2,2,1,2,2,2,2,1,1
126,2,9,2,1,1,2,2,2,1
127,2,7,2,1,1,2,2,2,1
128,2,7,1,1,1,2,2,1,1
129,2,7,1,6,2,2,2,1,1
130,2,9,2,1,1,2,2,2,1
131,2,10,1,1,1,1,2,1,1
132,1,2,2,2,2,2,2,2,1
133,1,2,1,2,2,2,2,1,1
134,2,4,1,6,2,1,1,1,1
135,2,2,1,2,2,1,1,1,1
136,2,7,1,1,1,1,1,1,1
137,2,9,2,1,1,2,2,2,1
138,2,9,1,1,1,2,2,1,1
139,2,3,2,1,1,2,2,2,1
140,2,3,1,1,1,1,2,1,1
141,2,2,1,2,2,2,2,1,1
142,2,9,1,1,1,2,2,3,1
143,2,9,2,1,1,2,2,2,1
144,2,7,1,1,1,2,2,1,1
145,2,7,1,1,1,2,2,2,1
146,2,9,2,1,1,2,2,2,1
147,2,4,1,11,2,2,2,1,1
148,2,10,2,1,1,2,2,2,1
149,2,10,1,1,1,2,2,1,1
150,1,4,1,1,2,1,1,1,1
151,2,9,2,1,1,2,2,2,1
152,2,7,1,1,1,2,2,1,1
153,2,3,1,1,1,2,2,1,1
154,2,7,2,1,1,2,2,2,1
155,1,2,1,2,2,2,2,1,1
156,1,7,1,1,1,2,2,1,1
157,2,2,2,2,2,2,2,2,1
158,2,2,1,2,2,2,2,1,1
159,2,2,2,2,2,2,2,2,1
160,2,2,1,2,2,2,2,1,1
161,1,5,2,1,1,2,2,2,1
162,1,4,1,6,2,1,2,1,1
163,2,2,1,2,2,2,2,1,1
164,2,7,2,1,1,2,2,2,1
165,2,5,1,1,3,1,1,1,1
166,2,9,2,1,1,2,2,2,1
167,2,7,1,1,1,2,2,1,1
168,2,2,1,3,2,2,2,2,1
169,1,7,1,1,1,2,2,2,1
170,2,5,1,1,3,1,1,2,1
171,2,2,1,3,2,2,2,2,1
172,2,5,1,1,3,2,2,2,1
173,1,5,1,1,3,1,1,1,1
174,2,2,1,3,2,2,2,2,1
175,1,5,1,1,3,2,2,2,1
176,2,1,1,13,2,2,2,2,1
177,2,5,1,1,3,2,2,2,1
178,2,2,1,3,2,2,2,2,1
179,2,5,1,1,3,1,1,2,1
180,1,4,1,4,2,2,2,2,1
181,1,7,1,1,3,1,1,2,1
182,2,9,1,1,1,2,2,1,1
183,2,9,2,1,1,2,2,2,1
184,2,4,1,6,2,2,2,1,1
185,1,5,1,1,3,1,1,3,1
186,2,4,1,6,2,2,2,1,1
187,1,2,1,2,2,1,2,1,1
188,2,2,1,2,2,2,2,1,1
189,2,4,1,6,2,2,2,1,1
190,2,6,1,1,1,2,2,2,1
191,2,2,1,3,2,2,2,2,1
192,1,5,1,1,3,1,1,2,1
193,2,2,1,7,2,1,1,2,1
194,2,9,1,1,1,2,2,2,1
195,1,4,1,10,2,2,2,2,1
196,1,2,1,2,2,2,2,2,1
197,2,2,1,2,2,2,2,1,1
198,1,3,1,1,1,2,2,2,1
199,1,4,1,14,2,2,2,1,1
200,2,4,1,10,2,2,2,2,1
201,1,4,1,1,2,2,2,1,1
202,1,1,1,1,3,2,2,2,1
203,1,5,1,1,3,2,2,2,1
204,1,9,2,1,1,2,2,2,1
205,1,9,1,1,1,2,2,1,1
206,1,9,2,1,1,2,2,3,1
207,2,5,1,1,3,1,1,1,1
208,1,5,1,1,3,2,2,2,1
209,1,7,2,1,1,2,2,2,1
210,1,5,1,1,3,2,2,2,1
211,1,5,1,1,3,2,2,2,1
212,1,7,2,1,1,2,2,2,1
213,1,2,1,1,3,1,2,2,1
214,1,5,1,1,2,1,1,2,1
215,1,5,1,1,3,2,2,2,1
216,1,5,1,1,1,1,1,1,1
217,1,6,2,1,1,2,2,1,1
218,1,4,1,1,2,1,2,2,1
219,1,4,1,6,2,2,2,2,1
220,2,5,1,1,3,1,2,2,1
221,2,5,1,1,3,1,2,2,1
222,1,3,1,1,3,2,2,2,1
223,1,5,1,1,3,2,2,2,1
224,1,2,2,1,1,2,2,2,1
225,1,5,1,1,3,2,2,2,1
226,1,2,1,1,1,2,2,2,1
227,1,4,1,10,2,2,2,2,1
228,1,2,2,1,1,2,2,2,1
229,1,5,1,1,3,2,2,2,1
230,1,2,2,1,1,2,2,2,1
231,1,2,2,1,1,2,2,2,1
232,1,2,2,1,1,2,2,2,1
233,1,2,1,1,1,2,2,2,1
234,1,3,1,1,1,2,2,2,1
235,1,11,2,1,1,2,2,2,1
236,2,5,1,1,3,2,2,2,1
237,1,2,2,1,1,2,2,2,1
238,2,5,1,1,3,2,2,2,1
239,1,4,1,8,2,2,2,2,1
240,1,2,1,1,1,1,2,3,1
241,1,2,1,1,1,2,2,2,1
242,1,2,1,1,1,1,1,2,1
243,2,7,1,1,3,1,2,2,1
244,2,5,1,1,3,1,1,2,1
245,2,2,1,2,2,2,2,2,1
246,2,2,1,9,2,2,2,2,1
247,2,5,1,1,2,2,2,2,1
248,1,7,2,1,1,2,2,2,1
249,2,2,1,3,2,2,2,2,1
250,2,4,1,6,2,2,2,2,1
251,2,2,1,9,2,2,2,2,1
252,1,4,1,6,2,2,2,2,1
253,1,2,1,1,1,2,2,2,1
254,2,3,1,1,1,2,2,2,1
255,1,7,1,1,1,2,2,2,1
256,1,5,1,1,3,2,2,2,1
